Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Solution Type,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Mass*sin(i) [Earth Mass],Planet Mass*sin(i)/sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Time Reference Frame and Standard,Ratio of Planet to Stellar Radius,Epoch of Periastron [days],Argument of Periastron [deg],Radial Velocity Amplitude [m/s],Projected Obliquity [deg],True Obliquity [deg],Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio,Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],Stellar Rotational Velocity [km/s],Stellar Rotational Period [days],Systemic Radial Velocity [km/s],Distance [pc],Parallax [mas],B (Johnson) Magnitude,V (Johnson) Magnitude,J (2MASS) Magnitude,H (2MASS) Magnitude,Ks (2MASS) Magnitude,u (Sloan) Magnitude,g (Sloan) Magnitude,r (Sloan) Magnitude,i (Sloan) Magnitude,z (Sloan) Magnitude,W1 (WISE) Magnitude,W2 (WISE) Magnitude,W3 (WISE) Magnitude,W4 (WISE) Magnitude,Gaia Magnitude
Kepler-1108 b,Kepler-1108,b,1,1,0,0,Transit,Published Confirmed,4.51004491,,,,,,,,,,,BJD,,,,,,,,5385.0,0.85,0.93,,,-0.258,4.54,,2.1073,,,,767.701,1.27418,15.335,15.132,13.686,13.262,13.172,,,,,,13.188,13.218,12.795,9.068,14.9192
Kepler-1108 b,Kepler-1108,b,1,1,0,0,Transit,Published Confirmed,,1.434,,,,,,,,206.41,,,,,,,,,,5363.0,0.85,,,,,,,,,,,767.701,1.27418,15.335,15.132,13.686,13.262,13.172,,,,,,13.188,13.218,12.795,9.068,14.9192
Kepler-1108 b,Kepler-1108,b,1,1,0,0,Transit,Published Confirmed,4.51005748,1.46,,,,,,,,,,JD,0.01582,,,,,,,5406.0,0.84,0.88,-0.09,[Fe/H],,4.54,4.17,,,,,767.701,1.27418,15.335,15.132,13.686,13.262,13.172,,,,,,13.188,13.218,12.795,9.068,14.9192
Kepler-1109 b,Kepler-1109,b,1,1,0,0,Transit,Published Confirmed,37.64639324,,,,,,,,,,,BJD,,,,,,,,5380.67,1.05,0.93,0.021,[M/H],-0.076,4.36,,1.118,,,,685.087,1.43113,14.982,14.405,13.055,12.718,12.707,,,,,,12.581,12.628,12.497,8.824,14.2665
Kepler-1109 b,Kepler-1109,b,1,1,0,0,Transit,Published Confirmed,37.6467384,2.19,,,,,,,,,,JD,0.01912,,,,,,,5893.0,1.06,1.05,0.04,[Fe/H],,4.41,3.8,,,,,685.087,1.43113,14.982,14.405,13.055,12.718,12.707,,,,,,12.581,12.628,12.497,8.824,14.2665
Kepler-1109 b,Kepler-1109,b,1,1,0,0,Transit,Published Confirmed,,1.901,,,,,,,,11.38,,,,,,,,,,5438.0,0.94,,,,,,,,,,,685.087,1.43113,14.982,14.405,13.055,12.718,12.707,,,,,,12.581,12.628,12.497,8.824,14.2665
Kepler-1109 b,Kepler-1109,b,1,1,0,0,Transit,Published Confirmed,37.64667098,,,,,,,,,,,BJD,,,,,,,,5380.67,1.05,0.93,0.021,[M/H],-0.076,4.36,,1.118,,,,685.087,1.43113,14.982,14.405,13.055,12.718,12.707,,,,,,12.581,12.628,12.497,8.824,14.2665
Kepler-111 b,Kepler-111,b,1,2,0,0,Transit,Published Confirmed,3.34180294,1.82,,,,,,,,,,JD,0.01402,,,,,,,5933.0,1.2,1.1,0.14,[Fe/H],,4.32,4.57,,,,,657.223,1.49272,14.341,13.543,12.412,12.111,12.11,,,,,,12.04,12.095,12.202,9.055,13.4192
Kepler-111 b,Kepler-111,b,1,2,0,0,Transit,Published Confirmed,,1.519,,,,,,,,677.5,,,,,,,,,,5905.0,1.12,,,,,,,,,,,657.223,1.49272,14.341,13.543,12.412,12.111,12.11,,,,,,12.04,12.095,12.202,9.055,13.4192
Kepler-111 b,Kepler-111,b,1,2,0,0,Transit,Published Confirmed,3.34179636,,,,,,,,,,,BJD,,,,,,,,5952.0,1.18,1.09,0.28,[M/H],0.195,4.33,,0.9431,,,,657.223,1.49272,14.341,13.543,12.412,12.111,12.11,,,,,,12.04,12.095,12.202,9.055,13.4192
Kepler-111 b,Kepler-111,b,1,2,0,0,Transit,Published Confirmed,3.341815,1.58,,,,,,,,,,BJD,,,,,,,,5952.0,1.16,,,,,4.38,,,,,,657.223,1.49272,14.341,13.543,12.412,12.111,12.11,,,,,,12.04,12.095,12.202,9.055,13.4192
Kepler-111 b,Kepler-111,b,1,2,0,0,Transit,Published Confirmed,3.3417993,,,,,,,,,,,BJD,,,,,,,,5952.0,1.18,1.09,0.28,[M/H],0.195,4.33,,0.9431,,,,657.223,1.49272,14.341,13.543,12.412,12.111,12.11,,,,,,12.04,12.095,12.202,9.055,13.4192
Kepler-111 c,Kepler-111,c,1,2,0,0,Transit,Published Confirmed,224.7782093,7.84,,,,,,,,,,JD,0.0601,,,,,,,5933.0,1.2,1.1,0.14,[Fe/H],,4.32,4.57,,,,,657.223,1.49272,14.341,13.543,12.412,12.111,12.11,,,,,,12.04,12.095,12.202,9.055,13.4192
Kepler-111 c,Kepler-111,c,1,2,0,0,Transit,Published Confirmed,224.784608,7.3,,,,,,,,,,BJD,,,,,,,,5952.0,1.16,,,,,4.38,,,,,,657.223,1.49272,14.341,13.543,12.412,12.111,12.11,,,,,,12.04,12.095,12.202,9.055,13.4192
Kepler-111 c,Kepler-111,c,1,2,0,0,Transit,Published Confirmed,224.77923926,,,,,,,,,,,BJD,,,,,,,,5952.0,1.18,1.09,0.28,[M/H],0.195,4.33,,0.9431,,,,657.223,1.49272,14.341,13.543,12.412,12.111,12.11,,,,,,12.04,12.095,12.202,9.055,13.4192
Kepler-111 c,Kepler-111,c,1,2,0,0,Transit,Published Confirmed,,6.978,,,,,,,,2.48,,,,,,,,,,5905.0,1.12,,,,,,,,,,,657.223,1.49272,14.341,13.543,12.412,12.111,12.11,,,,,,12.04,12.095,12.202,9.055,13.4192
Kepler-111 c,Kepler-111,c,1,2,0,0,Transit,Published Confirmed,224.77015777,,,,,,,,,,,BJD,,,,,,,,5952.0,1.18,1.09,0.28,[M/H],0.195,4.33,,0.9431,,,,657.223,1.49272,14.341,13.543,12.412,12.111,12.11,,,,,,12.04,12.095,12.202,9.055,13.4192
Kepler-1110 b,Kepler-1110,b,1,1,0,0,Transit,Published Confirmed,9.69304069,,,,,,,,,,,BJD,,,,,,,,4753.2,0.71,0.76,-0.126,[M/H],-0.637,4.62,,3.0112,,,,726.828,1.34795,17.014,16.274,14.319,13.748,13.604,,,,,,13.524,13.6,12.782,9.372,15.8872
Kepler-1110 b,Kepler-1110,b,1,1,0,0,Transit,Published Confirmed,,2.439,,,,,,,,43.14,,,,,,,,,,4821.0,0.71,,,,,,,,,,,726.828,1.34795,17.014,16.274,14.319,13.748,13.604,,,,,,13.524,13.6,12.782,9.372,15.8872
Kepler-1110 b,Kepler-1110,b,1,1,0,0,Transit,Published Confirmed,9.69303883,,,,,,,,,,,BJD,,,,,,,,4753.2,0.71,0.76,-0.126,[M/H],-0.637,4.62,,3.0112,,,,726.828,1.34795,17.014,16.274,14.319,13.748,13.604,,,,,,13.524,13.6,12.782,9.372,15.8872
Kepler-1110 b,Kepler-1110,b,1,1,0,0,Transit,Published Confirmed,9.69312032,2.66,,,,,,,,,,JD,0.0347,,,,,,,4781.0,0.7,0.73,-0.16,[Fe/H],,4.62,4.79,,,,,726.828,1.34795,17.014,16.274,14.319,13.748,13.604,,,,,,13.524,13.6,12.782,9.372,15.8872
Kepler-1111 b,Kepler-1111,b,1,1,0,0,Transit,Published Confirmed,8.79610307,,,,,,,,,,,BJD,,,,,,,,5793.45,0.89,1.04,-0.165,[M/H],-0.09,4.55,,2.0479,,,,841.536,1.15986,15.537,14.88,13.6,13.293,13.244,,,,,,13.151,13.179,12.975,9.41,14.7155
Kepler-1111 b,Kepler-1111,b,1,1,0,0,Transit,Published Confirmed,8.79638238,,,,,,,,,,,BJD,,,,,,,,5793.45,0.89,1.04,-0.165,[M/H],-0.09,4.55,,2.0479,,,,841.536,1.15986,15.537,14.88,13.6,13.293,13.244,,,,,,13.151,13.179,12.975,9.41,14.7155
Kepler-1111 b,Kepler-1111,b,1,1,0,0,Transit,Published Confirmed,8.79617863,2.0,,,,,,,,,,JD,0.01639,,,,,,,6077.0,1.15,1.1,0.02,[Fe/H],,4.36,3.16,,,,,841.536,1.15986,15.537,14.88,13.6,13.293,13.244,,,,,,13.151,13.179,12.975,9.41,14.7155
Kepler-1111 b,Kepler-1111,b,1,1,0,0,Transit,Published Confirmed,,1.413,,,,,,,,118.52,,,,,,,,,,6158.0,0.83,,,,,,,,,,,841.536,1.15986,15.537,14.88,13.6,13.293,13.244,,,,,,13.151,13.179,12.975,9.41,14.7155
Kepler-1112 b,Kepler-1112,b,1,1,0,0,Transit,Published Confirmed,,2.821,,,,,,,,254.96,,,,,,,,,,6662.0,1.49,,,,,,,,,,,1671.28,0.570006,14.856,14.74,13.688,13.454,13.397,,,,,,13.391,13.45,12.909,9.129,14.5611
Kepler-1112 b,Kepler-1112,b,1,1,0,0,Transit,Published Confirmed,14.36267939,3.02,,,,,,,,,,JD,0.01811,,,,,,,6496.0,1.54,1.34,0.04,[Fe/H],,4.19,2.09,,,,,1671.28,0.570006,14.856,14.74,13.688,13.454,13.397,,,,,,13.391,13.45,12.909,9.129,14.5611
Kepler-1112 b,Kepler-1112,b,1,1,0,0,Transit,Published Confirmed,14.36282508,,,,,,,,,,,BJD,,,,,,,,6535.76,1.46,1.35,0.121,[M/H],0.542,4.24,,0.6165,,,,1671.28,0.570006,14.856,14.74,13.688,13.454,13.397,,,,,,13.391,13.45,12.909,9.129,14.5611
Kepler-1112 b,Kepler-1112,b,1,1,0,0,Transit,Published Confirmed,14.36281802,,,,,,,,,,,BJD,,,,,,,,6535.76,1.46,1.35,0.121,[M/H],0.542,4.24,,0.6165,,,,1671.28,0.570006,14.856,14.74,13.688,13.454,13.397,,,,,,13.391,13.45,12.909,9.129,14.5611
Kepler-1113 b,Kepler-1113,b,1,1,0,0,Transit,Published Confirmed,42.3006608,,,,,,,,,,,BJD,,,,,,,,5987.06,1.02,1.1,0.167,[M/H],0.08,4.46,,1.4655,,,,1073.88,0.902756,15.242,14.943,13.552,13.292,13.191,16.8197,15.2885,14.717,14.5202,14.4315,12.876,12.931,12.785,9.127,14.7828
Kepler-1113 b,Kepler-1113,b,1,1,0,0,Transit,Published Confirmed,,2.534,,,,,,,,22.85,,,,,,,,,,5850.0,1.13,,,,,,,,,,,1073.88,0.902756,15.242,14.943,13.552,13.292,13.191,16.8197,15.2885,14.717,14.5202,14.4315,12.876,12.931,12.785,9.127,14.7828
Kepler-1113 b,Kepler-1113,b,1,1,0,0,Transit,Published Confirmed,42.3004954,2.81,,,,,,,,,,JD,0.02177,,,,,,,5931.0,1.17,1.12,0.18,[Fe/H],,4.35,3.55,,,,,1073.88,0.902756,15.242,14.943,13.552,13.292,13.191,16.8197,15.2885,14.717,14.5202,14.4315,12.876,12.931,12.785,9.127,14.7828
Kepler-1114 b,Kepler-1114,b,1,1,0,0,Transit,Published Confirmed,,1.329,,,,,,,,39.32,,,,,,,,,,5269.0,0.83,,,,,,,,,,,418.417,2.36115,14.903,13.935,12.438,12.042,11.944,,,,,,11.936,11.996,11.611,9.093,13.7579
Kepler-1114 b,Kepler-1114,b,1,1,0,0,Transit,Published Confirmed,14.97430603,,,,,,,,,,,BJD,,,,,,,,5415.53,0.81,0.94,-0.122,[M/H],-0.293,4.59,,2.4885,,,,418.417,2.36115,14.903,13.935,12.438,12.042,11.944,,,,,,11.936,11.996,11.611,9.093,13.7579
Kepler-1114 b,Kepler-1114,b,1,1,0,0,Transit,Published Confirmed,14.97435694,1.35,,,,,,,,,,JD,0.01495,,,,,,,5374.0,0.83,0.87,-0.08,[Fe/H],,4.55,4.27,,,,,418.417,2.36115,14.903,13.935,12.438,12.042,11.944,,,,,,11.936,11.996,11.611,9.093,13.7579
Kepler-1114 b,Kepler-1114,b,1,1,0,0,Transit,Published Confirmed,14.97435448,,,,,,,,,,,BJD,,,,,,,,5415.53,0.81,0.94,-0.122,[M/H],-0.293,4.59,,2.4885,,,,418.417,2.36115,14.903,13.935,12.438,12.042,11.944,,,,,,11.936,11.996,11.611,9.093,13.7579
Kepler-1115 b,Kepler-1115,b,1,1,0,0,Transit,Published Confirmed,,2.1,,,,,,,0.0,,,,,,,,1.0,-4.0,,,2.29,2.33,,,,,,,200.0,0.58,,983.245,0.989042,11.879,11.983,11.566,11.555,11.512,,,,,,11.472,11.517,11.286,9.404,11.8822
Kepler-1115 b,Kepler-1115,b,1,1,0,0,Transit,Published Confirmed,23.55372085,,,,,,,,,,,BJD,,,,,,,,8838.0,1.81,2.22,,,1.254,4.27,,0.5308,,,,983.245,0.989042,11.879,11.983,11.566,11.555,11.512,,,,,,11.472,11.517,11.286,9.404,11.8822
Kepler-1115 b,Kepler-1115,b,1,1,0,0,Transit,Published Confirmed,23.55401645,,,,,,,,,,,BJD,,,,,,,,8838.0,1.81,2.22,,,1.254,4.27,,0.5308,,,,983.245,0.989042,11.879,11.983,11.566,11.555,11.512,,,,,,11.472,11.517,11.286,9.404,11.8822
Kepler-1115 b,Kepler-1115,b,1,1,0,0,Transit,Published Confirmed,,1.801,,,,,,,,516.1,,,,,,,,,,9578.0,1.76,,,,,,,,,,,983.245,0.989042,11.879,11.983,11.566,11.555,11.512,,,,,,11.472,11.517,11.286,9.404,11.8822
Kepler-1115 b,Kepler-1115,b,1,1,0,0,Transit,Published Confirmed,23.5540725,1.7,,,,,,,,,,JD,0.00869,,,,,,,8480.0,1.73,1.6,-0.51,[Fe/H],,4.17,1.12,,,,,983.245,0.989042,11.879,11.983,11.566,11.555,11.512,,,,,,11.472,11.517,11.286,9.404,11.8822
Kepler-1116 b,Kepler-1116,b,1,1,0,0,Transit,Published Confirmed,41.6976799,,,,,,,,,,,BJD,,,,,,,,5460.0,0.94,0.95,,,-0.147,4.47,,1.593,,,,1008.57,0.963177,16.431,15.424,13.974,13.646,13.482,,,,,,13.547,13.523,12.743,8.968,15.2352
Kepler-1116 b,Kepler-1116,b,1,1,0,0,Transit,Published Confirmed,41.6977827,2.54,,,,,,,,,,JD,0.02491,,,,,,,5641.0,0.93,0.95,0.01,[Fe/H],,4.48,4.9,,,,,1008.57,0.963177,16.431,15.424,13.974,13.646,13.482,,,,,,13.547,13.523,12.743,8.968,15.2352
Kepler-1116 b,Kepler-1116,b,1,1,0,0,Transit,Published Confirmed,41.69783717,,,,,,,,,,,BJD,,,,,,,,5460.0,0.94,0.95,,,-0.147,4.47,,1.593,,,,1008.57,0.963177,16.431,15.424,13.974,13.646,13.482,,,,,,13.547,13.523,12.743,8.968,15.2352
Kepler-1116 b,Kepler-1116,b,1,1,0,0,Transit,Published Confirmed,,2.43,,,,,,,,15.79,,,,,,,,,,5743.0,0.94,,,,,,,,,,,1008.57,0.963177,16.431,15.424,13.974,13.646,13.482,,,,,,13.547,13.523,12.743,8.968,15.2352
Kepler-1117 b,Kepler-1117,b,1,1,0,0,Transit,Published Confirmed,4.79028837,,,,,,,,,,,BJD,,,,,,,,5380.52,0.89,0.93,0.238,[M/H],-0.224,4.51,,1.8646,,,,568.487,1.73031,15.093,14.15,12.867,12.512,12.463,,,,,,12.372,12.44,12.915,9.556,14.1237
Kepler-1117 b,Kepler-1117,b,1,1,0,0,Transit,Published Confirmed,4.79028459,1.11,,,,,,,,,,JD,0.01115,,,,,,,5612.0,0.93,0.95,0.03,[Fe/H],,4.49,4.27,,,,,568.487,1.73031,15.093,14.15,12.867,12.512,12.463,,,,,,12.372,12.44,12.915,9.556,14.1237
Kepler-1117 b,Kepler-1117,b,1,1,0,0,Transit,Published Confirmed,,1.038,,,,,,,,194.98,,,,,,,,,,5429.0,0.86,,,,,,,,,,,568.487,1.73031,15.093,14.15,12.867,12.512,12.463,,,,,,12.372,12.44,12.915,9.556,14.1237
Kepler-1118 b,Kepler-1118,b,1,1,0,0,Transit,Published Confirmed,38.6715075,2.74,,,,,,,,,,JD,0.02563,,,,,,,5688.0,0.97,0.96,0.0,[Fe/H],,4.46,4.07,,,,,888.325,1.09766,16.147,15.238,13.505,13.076,13.04,,,,,,12.994,13.048,12.6,8.846,14.956
Kepler-1118 b,Kepler-1118,b,1,1,0,0,Transit,Published Confirmed,38.67158576,,,,,,,,,,,BJD,,,,,,,,5314.0,1.1,0.92,,,-0.06,4.32,,0.9733,,,,888.325,1.09766,16.147,15.238,13.505,13.076,13.04,,,,,,12.994,13.048,12.6,8.846,14.956
Kepler-1118 b,Kepler-1118,b,1,1,0,0,Transit,Published Confirmed,38.67159396,,,,,,,,,,,BJD,,,,,,,,5314.0,1.1,0.92,,,-0.06,4.32,,0.9733,,,,888.325,1.09766,16.147,15.238,13.505,13.076,13.04,,,,,,12.994,13.048,12.6,8.846,14.956
Kepler-1118 b,Kepler-1118,b,1,1,0,0,Transit,Published Confirmed,,2.848,,,,,,,,20.01,,,,,,,,,,5411.0,1.06,,,,,,,,,,,888.325,1.09766,16.147,15.238,13.505,13.076,13.04,,,,,,12.994,13.048,12.6,8.846,14.956
Kepler-1119 b,Kepler-1119,b,1,1,0,0,Transit,Published Confirmed,8.32625697,,,,,,,,,,,BJD,,,,,,,,5965.0,1.64,1.09,,,0.486,4.05,,0.3495,,,,1757.23,0.541166,16.078,15.296,13.864,13.54,13.456,,,,,,13.353,13.445,12.254,9.402,15.0671
Kepler-1119 b,Kepler-1119,b,1,1,0,0,Transit,Published Confirmed,8.3265153,1.92,,,,,,,,,,JD,0.01541,,,,,,,6083.0,1.17,1.11,0.03,[Fe/H],,4.35,3.09,,,,,1757.23,0.541166,16.078,15.296,13.864,13.54,13.456,,,,,,13.353,13.445,12.254,9.402,15.0671
Kepler-1119 b,Kepler-1119,b,1,1,0,0,Transit,Published Confirmed,8.32651274,,,,,,,,,,,BJD,,,,,,,,5965.0,1.64,1.09,,,0.486,4.05,,0.3495,,,,1757.23,0.541166,16.078,15.296,13.864,13.54,13.456,,,,,,13.353,13.445,12.254,9.402,15.0671
Kepler-112 b,Kepler-112,b,1,2,0,0,Transit,Published Confirmed,8.40887695,2.43,,,,,,,,,,JD,0.02603,,,,,,,5630.0,0.86,0.89,-0.23,[Fe/H],,4.53,3.98,,,,,513.206,1.91976,14.536,13.927,12.583,12.226,12.155,,,,,,12.045,12.107,12.252,9.67,13.7662
Kepler-112 b,Kepler-112,b,1,2,0,0,Transit,Published Confirmed,8.40887487,,,,,,,,,,,BJD,,,,,,,,5544.25,0.98,0.98,-0.522,[M/H],-0.086,4.44,,1.4551,,,,513.206,1.91976,14.536,13.927,12.583,12.226,12.155,,,,,,12.045,12.107,12.252,9.67,13.7662
Kepler-112 b,Kepler-112,b,1,2,0,0,Transit,Published Confirmed,,2.562,,,,,,,,123.82,,,,,,,,,,5501.0,0.91,,,,,,,,,,,513.206,1.91976,14.536,13.927,12.583,12.226,12.155,,,,,,12.045,12.107,12.252,9.67,13.7662
Kepler-112 b,Kepler-112,b,1,2,0,0,Transit,Published Confirmed,8.408878,2.36,,,,,,,,,,BJD,,,,,,,,5544.0,0.84,,,,,4.51,,,,,,513.206,1.91976,14.536,13.927,12.583,12.226,12.155,,,,,,12.045,12.107,12.252,9.67,13.7662
Kepler-112 b,Kepler-112,b,1,2,0,0,Transit,Published Confirmed,8.40887123,,,,,,,,,,,BJD,,,,,,,,5544.25,0.98,0.98,-0.522,[M/H],-0.086,4.44,,1.4551,,,,513.206,1.91976,14.536,13.927,12.583,12.226,12.155,,,,,,12.045,12.107,12.252,9.67,13.7662
Kepler-112 c,Kepler-112,c,1,2,0,0,Transit,Published Confirmed,28.574263,2.4,,,,,,,,,,BJD,,,,,,,,5544.0,0.84,,,,,4.51,,,,,,513.206,1.91976,14.536,13.927,12.583,12.226,12.155,,,,,,12.045,12.107,12.252,9.67,13.7662
Kepler-112 c,Kepler-112,c,1,2,0,0,Transit,Published Confirmed,28.57424023,,,,,,,,,,,BJD,,,,,,,,5544.25,0.98,0.98,-0.522,[M/H],-0.086,4.44,,1.4551,,,,513.206,1.91976,14.536,13.927,12.583,12.226,12.155,,,,,,12.045,12.107,12.252,9.67,13.7662
Kepler-112 c,Kepler-112,c,1,2,0,0,Transit,Published Confirmed,28.57430911,,,,,,,,,,,BJD,,,,,,,,5544.25,0.98,0.98,-0.522,[M/H],-0.086,4.44,,1.4551,,,,513.206,1.91976,14.536,13.927,12.583,12.226,12.155,,,,,,12.045,12.107,12.252,9.67,13.7662
Kepler-112 c,Kepler-112,c,1,2,0,0,Transit,Published Confirmed,28.5742649,2.52,,,,,,,,,,JD,0.02682,,,,,,,5630.0,0.86,0.89,-0.23,[Fe/H],,4.53,3.98,,,,,513.206,1.91976,14.536,13.927,12.583,12.226,12.155,,,,,,12.045,12.107,12.252,9.67,13.7662
Kepler-112 c,Kepler-112,c,1,2,0,0,Transit,Published Confirmed,,2.603,,,,,,,,24.25,,,,,,,,,,5501.0,0.91,,,,,,,,,,,513.206,1.91976,14.536,13.927,12.583,12.226,12.155,,,,,,12.045,12.107,12.252,9.67,13.7662
Kepler-1120 b,Kepler-1120,b,1,1,0,0,Transit,Published Confirmed,2.94902905,1.38,,,,,,,,,,JD,0.01716,,,,,,,4904.0,0.74,0.78,-0.04,[Fe/H],,4.6,4.68,,,,,615.231,1.59688,16.52,15.494,13.79,13.256,13.17,,,,,,13.135,13.185,12.75,9.384,15.3045
Kepler-1120 b,Kepler-1120,b,1,1,0,0,Transit,Published Confirmed,,1.307,,,,,,,,206.87,,,,,,,,,,4987.0,0.71,,,,,,,,,,,615.231,1.59688,16.52,15.494,13.79,13.256,13.17,,,,,,13.135,13.185,12.75,9.384,15.3045
Kepler-1120 b,Kepler-1120,b,1,1,0,0,Transit,Published Confirmed,2.94903816,,,,,,,,,,,BJD,,,,,,,,4971.16,0.68,0.82,0.276,[M/H],-0.588,4.68,,3.5971,,,,615.231,1.59688,16.52,15.494,13.79,13.256,13.17,,,,,,13.135,13.185,12.75,9.384,15.3045
Kepler-1121 b,Kepler-1121,b,1,1,0,0,Transit,Published Confirmed,13.15107959,,,,,,,,,,,BJD,,,,,,,,6134.95,1.53,1.16,0.143,[M/H],0.475,4.13,,0.4572,,,,482.047,2.04577,12.713,12.144,11.076,10.865,10.795,,,,,,10.77,10.818,10.89,9.067,12.017
Kepler-1121 b,Kepler-1121,b,1,1,0,0,Transit,Published Confirmed,13.15149746,,,,,,,,,,,BJD,,,,,,,,6134.95,1.53,1.16,0.143,[M/H],0.475,4.13,,0.4572,,,,482.047,2.04577,12.713,12.144,11.076,10.865,10.795,,,,,,10.77,10.818,10.89,9.067,12.017
Kepler-1121 b,Kepler-1121,b,1,1,0,0,Transit,Published Confirmed,13.15141081,1.91,,,,,,,,,,JD,0.01078,,,,,,,6231.0,1.59,1.29,0.12,[Fe/H],,4.14,3.02,,,,,482.047,2.04577,12.713,12.144,11.076,10.865,10.795,,,,,,10.77,10.818,10.89,9.067,12.017
Kepler-1121 b,Kepler-1121,b,1,1,0,0,Transit,Published Confirmed,,1.679,,,,,,,,205.27,,,,,,,,,,6212.0,1.47,,,,,,,,,,,482.047,2.04577,12.713,12.144,11.076,10.865,10.795,,,,,,10.77,10.818,10.89,9.067,12.017
Kepler-1122 b,Kepler-1122,b,1,1,0,0,Transit,Published Confirmed,42.1917357,2.04,,,,,,,,,,JD,0.02143,,,,,,,5544.0,0.89,0.92,-0.03,[Fe/H],,4.51,4.68,,,,,1230.42,0.784081,16.129,15.405,13.872,13.518,13.369,,,,,,13.324,13.373,12.971,9.519,15.1025
Kepler-1122 b,Kepler-1122,b,1,1,0,0,Transit,Published Confirmed,,2.657,,,,,,,,23.26,,,,,,,,,,5519.0,1.22,,,,,,,,,,,1230.42,0.784081,16.129,15.405,13.872,13.518,13.369,,,,,,13.324,13.373,12.971,9.519,15.1025
Kepler-1122 b,Kepler-1122,b,1,1,0,0,Transit,Published Confirmed,42.19165167,,,,,,,,,,,BJD,,,,,,,,5471.0,1.19,0.96,,,0.059,4.27,,0.8012,,,,1230.42,0.784081,16.129,15.405,13.872,13.518,13.369,,,,,,13.324,13.373,12.971,9.519,15.1025
Kepler-1122 b,Kepler-1122,b,1,1,0,0,Transit,Published Confirmed,42.19204934,,,,,,,,,,,BJD,,,,,,,,5471.0,1.19,0.96,,,0.059,4.27,,0.8012,,,,1230.42,0.784081,16.129,15.405,13.872,13.518,13.369,,,,,,13.324,13.373,12.971,9.519,15.1025
Kepler-1123 b,Kepler-1123,b,1,1,0,0,Transit,Published Confirmed,,1.681,,,,,,,,190.02,,,,,,,,,,5318.0,0.81,,,,,,,,,,,704.323,1.39116,15.681,14.933,13.528,13.154,13.105,,,,,,12.906,12.983,12.459,8.903,14.8069
Kepler-1123 b,Kepler-1123,b,1,1,0,0,Transit,Published Confirmed,4.33946035,,,,,,,,,,,BJD,,,,,,,,5286.88,0.85,0.91,0.074,[M/H],-0.295,4.54,,2.0954,,,,704.323,1.39116,15.681,14.933,13.528,13.154,13.105,,,,,,12.906,12.983,12.459,8.903,14.8069
Kepler-1123 b,Kepler-1123,b,1,1,0,0,Transit,Published Confirmed,4.33946454,1.67,,,,,,,,,,JD,0.01732,,,,,,,5500.0,0.9,0.93,0.05,[Fe/H],,4.5,5.13,,,,,704.323,1.39116,15.681,14.933,13.528,13.154,13.105,,,,,,12.906,12.983,12.459,8.903,14.8069
Kepler-1124 b,Kepler-1124,b,1,1,0,0,Transit,Published Confirmed,,1.971,,,,,,,,50.78,,,,,,,,,,3754.0,0.52,,,,,,,,,,,289.899,3.42133,17.265,16.745,13.671,13.055,12.826,20.3615,17.5773,16.1314,15.3314,14.8898,12.713,12.653,12.567,9.193,15.9678
Kepler-1124 b,Kepler-1124,b,1,1,0,0,Transit,Published Confirmed,2.85234897,1.28,,,,,,,,,,JD,0.03537,,,,,,,3658.0,0.34,0.35,-0.59,[Fe/H],,4.93,3.39,,,,,289.899,3.42133,17.265,16.745,13.671,13.055,12.826,20.3615,17.5773,16.1314,15.3314,14.8898,12.713,12.653,12.567,9.193,15.9678
Kepler-1124 b,Kepler-1124,b,1,1,0,0,Transit,Published Confirmed,2.85234584,,,,,,,,,,,BJD,,,,,,,,3732.0,0.52,0.52,,,-1.323,4.72,,5.1634,,,,289.899,3.42133,17.265,16.745,13.671,13.055,12.826,20.3615,17.5773,16.1314,15.3314,14.8898,12.713,12.653,12.567,9.193,15.9678
Kepler-1125 b,Kepler-1125,b,1,1,0,0,Transit,Published Confirmed,17.67018914,,,,,,,,,,,BJD,,,,,,,,5926.0,2.0,1.08,,,0.647,3.87,,0.1906,,,,2011.41,0.474351,15.785,15.042,13.694,13.31,13.243,,,,,,13.223,13.307,12.368,9.226,14.8766
Kepler-1125 b,Kepler-1125,b,1,1,0,0,Transit,Published Confirmed,17.6700642,1.84,,,,,,,,,,JD,0.01767,,,,,,,5683.0,0.94,0.95,-0.09,[Fe/H],,4.47,4.17,,,,,2011.41,0.474351,15.785,15.042,13.694,13.31,13.243,,,,,,13.223,13.307,12.368,9.226,14.8766
