Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Solution Type,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Mass*sin(i) [Earth Mass],Planet Mass*sin(i)/sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Time Reference Frame and Standard,Ratio of Planet to Stellar Radius,Epoch of Periastron [days],Argument of Periastron [deg],Radial Velocity Amplitude [m/s],Projected Obliquity [deg],True Obliquity [deg],Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio,Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],Stellar Rotational Velocity [km/s],Stellar Rotational Period [days],Systemic Radial Velocity [km/s],Distance [pc],Parallax [mas],B (Johnson) Magnitude,V (Johnson) Magnitude,J (2MASS) Magnitude,H (2MASS) Magnitude,Ks (2MASS) Magnitude,u (Sloan) Magnitude,g (Sloan) Magnitude,r (Sloan) Magnitude,i (Sloan) Magnitude,z (Sloan) Magnitude,W1 (WISE) Magnitude,W2 (WISE) Magnitude,W3 (WISE) Magnitude,W4 (WISE) Magnitude,Gaia Magnitude
Kepler-188 b,Kepler-188,b,1,2,0,0,Transit,Published Confirmed,,1.574,,,,,,,,1069.23,,,,,,,,,,5706.0,1.05,,,,,,,,,,,968.544,1.00392,15.599,14.719,13.536,13.197,13.144,,,,,,13.057,13.136,12.561,9.054,14.6336
Kepler-188 c,Kepler-188,c,1,2,0,0,Transit,Published Confirmed,,2.853,,,,,,,,257.35,,,,,,,,,,5706.0,1.05,,,,,,,,,,,968.544,1.00392,15.599,14.719,13.536,13.197,13.144,,,,,,13.057,13.136,12.561,9.054,14.6336
Kepler-188 c,Kepler-188,c,1,2,0,0,Transit,Published Confirmed,5.996553,3.19,,,,,,,,,,BJD,,,,,,,,6021.0,1.14,,,,,4.35,,,,,,968.544,1.00392,15.599,14.719,13.536,13.197,13.144,,,,,,13.057,13.136,12.561,9.054,14.6336
Kepler-188 c,Kepler-188,c,1,2,0,0,Transit,Published Confirmed,5.99653711,,,,,,,,,,,BJD,,,,,,,,5704.0,1.07,1.02,,,0.034,4.39,,1.189,,,,968.544,1.00392,15.599,14.719,13.536,13.197,13.144,,,,,,13.057,13.136,12.561,9.054,14.6336
Kepler-188 c,Kepler-188,c,1,2,0,0,Transit,Published Confirmed,5.996535,2.73,,,,,,,,,,JD,0.02582,,,,,,,5727.0,0.96,0.98,0.0,[Fe/H],,4.46,4.37,,,,,968.544,1.00392,15.599,14.719,13.536,13.197,13.144,,,,,,13.057,13.136,12.561,9.054,14.6336
Kepler-188 c,Kepler-188,c,1,2,0,0,Transit,Published Confirmed,5.99653432,,,,,,,,,,,BJD,,,,,,,,5704.0,1.07,1.02,,,0.034,4.39,,1.189,,,,968.544,1.00392,15.599,14.719,13.536,13.197,13.144,,,,,,13.057,13.136,12.561,9.054,14.6336
Kepler-1880 b,Kepler-1880,b,1,1,0,0,Transit,Published Confirmed,6.30921984,2.117,,,,,,,,,,,,,,,,,,4380.0,0.53,0.52,-0.92,[Fe/H],,4.71,,24.0495,,,,611.041,1.60837,17.408,16.088,14.157,13.533,13.439,,,,,,13.419,13.455,12.579,9.088,15.8887
Kepler-1881 b,Kepler-1881,b,1,1,0,0,Transit,Published Confirmed,159.3939972,2.981,,,,,,,,,,,,,,,,,,5135.0,0.87,0.81,0.12,[Fe/H],,4.46,,2.3989,,,,1057.21,0.918411,16.892,15.898,14.423,13.943,13.978,,,,,,13.833,13.891,12.242,8.962,15.8603
Kepler-1882 b,Kepler-1882,b,1,1,0,0,Transit,Published Confirmed,13.7870681,,,,,,,,,,,BJD,,,,,,,,5579.42,1.41,0.98,0.297,[M/H],0.237,4.13,,0.4976,,,,443.371,2.22676,13.242,12.516,11.271,10.974,10.919,,,,,,10.301,10.354,10.576,9.508,12.4303
Kepler-1882 b,Kepler-1882,b,1,1,0,0,Transit,Published Confirmed,13.78730011,1.487,,,,,,,,,,,,,,,,,,5691.0,1.46,1.07,0.26,[Fe/H],,4.14,,0.0446,,,,443.371,2.22676,13.242,12.516,11.271,10.974,10.919,,,,,,10.301,10.354,10.576,9.508,12.4303
